City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Ternate,ID,2021-11-25 22:44,0.8,127.4,79.9,82,100,4.21
102,Pemangkat,ID,2021-11-25 22:44,1.1667,108.9667,80.22,76,100,2.44
103,Luorong,CN,2021-11-25 22:44,24.4058,109.6086,52.57,70,9,4.56
104,Hithadhoo,MV,2021-11-25 22:44,-0.6,73.0833,81.27,71,99,15.99
105,Provideniya,RU,2021-11-25 22:44,64.3833,-173.3,3.31,60,75,4.47
106,Mount Gambier,AU,2021-11-25 22:44,-37.8333,140.7667,55.31,62,75,24.16
107,Prince Rupert,CA,2021-11-25 22:44,54.3161,-130.3201,48.29,76,90,13.8
108,Tottori,JP,2021-11-25 22:44,35.5,134.2333,48.27,87,75,3.44
109,Bambous Virieux,MU,2021-11-25 22:44,-20.3428,57.7575,72.21,88,40,5.75
110,Lompoc,US,2021-11-25 22:39,34.6391,-120.4579,77.14,31,1,13.8
111,Kapaa,US,2021-11-25 22:44,22.0752,-159.319,82.72,69,20,1.99
112,Yellowknife,CA,2021-11-25 22:44,62.456,-114.3525,11.41,91,90,13.8
113,Faanui,PF,2021-11-25 22:44,-16.4833,-151.75,82.24,74,7,18.12
114,Tiksi,RU,2021-11-25 22:44,71.6872,128.8694,0.3,82,100,5.32
115,Raudeberg,NO,2021-11-25 22:44,61.9875,5.1352,31.19,94,100,4
116,Clyde River,CA,2021-11-25 22:44,70.4692,-68.5914,-0.92,99,100,3.47
117,Taikang,CN,2021-11-25 22:44,46.8333,124.4167,12.42,85,29,5.84
118,Usinsk,RU,2021-11-25 22:44,65.9939,57.5281,-7.08,100,97,4.21
119,East London,ZA,2021-11-25 22:44,-33.0153,27.9116,63.45,78,100,16.31
120,Buenos Aires,AR,2021-11-25 22:40,-34.6132,-58.3772,71.33,76,75,10.36
121,Mingguang,CN,2021-11-25 22:44,32.7802,117.9638,45.39,67,0,4.43
