City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Chuy,UY,2021-11-25 00:51:59,-33.6971,-53.4616,62.44,70,0,8.03
91,Atuona,PF,2021-11-25 00:52:00,-9.8,-139.0333,77.94,79,38,13.29
92,Geraldton,AU,2021-11-25 00:52:00,-28.7667,114.6,90.01,14,0,13.8
93,Cape Town,ZA,2021-11-25 00:47:43,-33.9258,18.4232,62.11,56,0,8.05
94,Port Alfred,ZA,2021-11-25 00:52:01,-33.5906,26.891,59.95,78,56,11.59
95,Esna,EG,2021-11-25 00:52:01,25.2934,32.554,59.02,40,7,6.71
96,Bluff,NZ,2021-11-25 00:52:01,-46.6,168.3333,61.0,51,100,5.26
97,Aguimes,ES,2021-11-25 00:52:02,27.9054,-15.4461,66.83,84,75,9.22
98,Chesapeake,US,2021-11-25 00:51:38,36.819,-76.2749,39.97,69,20,3.0
99,Adrar,MR,2021-11-25 00:52:02,20.5022,-10.0711,76.51,33,100,8.7
100,Taoudenni,ML,2021-11-25 00:52:03,22.6783,-3.9836,77.92,39,89,7.87
101,Saint Joseph,US,2021-11-25 00:52:02,39.7686,-94.8466,56.86,53,75,19.57
102,Chokurdakh,RU,2021-11-25 00:50:06,70.6333,147.9167,-26.9,100,73,6.8
103,Mandalgovi,MN,2021-11-25 00:52:03,45.7625,106.2708,24.84,54,0,11.9
104,Manokwari,ID,2021-11-25 00:49:19,-0.8667,134.0833,83.48,73,100,8.08
105,Busselton,AU,2021-11-25 00:52:04,-33.65,115.3333,69.08,43,53,10.65
106,Coihaique,CL,2021-11-25 00:52:04,-45.5752,-72.0662,57.15,67,75,3.44
107,Byron Bay,AU,2021-11-25 00:52:05,-28.65,153.6167,78.91,73,100,11.16
108,Hofn,IS,2021-11-25 00:52:05,64.2539,-15.2082,31.66,56,100,7.7
109,Marquette,US,2021-11-25 00:52:06,46.5333,-87.6335,39.34,74,100,6.44
110,Qaanaaq,GL,2021-11-25 00:52:06,77.484,-69.3632,-2.65,50,0,7.94
111,Saskylakh,RU,2021-11-25 00:52:07,71.9167,114.0833,-10.32,95,100,9.22
112,Mazagao,BR,2021-11-25 00:52:07,-0.115,-51.2894,80.65,88,36,3.42
113,Hasaki,JP,2021-11-25 00:52:08,35.7333,140.8333,55.29,48,0,8.79
114,Corinto,GR,2021-11-25 00:49:41,37.9407,22.9573,55.89,82,74,5.55
115,Vrangel,RU,2021-11-25 00:52:09,42.7297,133.0839,24.93,54,4,11.54
116,Atar,MR,2021-11-25 00:52:09,20.5169,-13.0499,80.74,32,97,8.41
117,Port Lincoln,AU,2021-11-25 00:52:09,-34.7333,135.8667,63.77,69,1,21.72
